13-Aug-2020,45,47,37,33,35,5,SFL4,Excalibur3,148
10-Aug-2020,21,26,1,14,10,7,SFL4,Excalibur3,147
06-Aug-2020,36,2,22,42,43,9,SFL6,Excalibur3,146
03-Aug-2020,33,36,45,16,15,1,SFL6,Excalibur3,145
30-Jul-2020,32,13,27,17,7,4,SFL5,Excalibur2,144
27-Jul-2020,6,27,20,10,36,1,SFL5,Excalibur2,143
23-Jul-2020,21,5,33,36,40,9,SFL4,Excalibur3,142
20-Jul-2020,32,17,12,45,7,5,SFL4,Excalibur2,141
16-Jul-2020,43,33,38,29,18,9,SFL3,Excalibur3,140
13-Jul-2020,10,19,45,18,4,10,SFL2,Excalibur3,139
09-Jul-2020,11,16,44,39,26,8,SFL1,Excalibur3,138
06-Jul-2020,21,30,5,12,17,2,SFL1,Excalibur3,137
02-Jul-2020,11,12,29,33,24,5,SFL3,Excalibur2,136
29-Jun-2020,33,26,37,29,20,3,SFL3,Excalibur2,135
25-Jun-2020,45,20,18,3,16,8,SFL2,Excalibur2,134
22-Jun-2020,25,35,38,28,16,8,SFL2,Excalibur2,133
18-Jun-2020,32,44,6,8,28,9,SFL1,Excalibur3,132
15-Jun-2020,42,4,23,15,21,2,SFL1,Excalibur3,131
11-Jun-2020,32,15,6,22,5,9,SFL3,Excalibur3,130
08-Jun-2020,12,16,3,47,22,5,SFL3,Excalibur3,129
04-Jun-2020,27,8,47,28,9,6,SFL2,Excalibur5,128
01-Jun-2020,38,32,4,34,30,9,SFL2,Excalibur5,127
28-May-2020,5,3,31,23,13,5,SFL1,Excalibur5,126
25-May-2020,1,42,24,44,3,7,SFL9,Excalibur5,125
21-May-2020,45,19,46,3,4,1,SFL8,Excalibur6,124
18-May-2020,45,23,6,17,43,5,SFL7,Excalibur6,123
