DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Thunderball,Ball Set,Machine,DrawNumber
30-Jul-2019,26,37,8,15,17,8,T2,Excalibur 2,2486
27-Jul-2019,32,33,37,11,38,7,T1,Excalibur 3,2485
26-Jul-2019,3,35,10,21,6,13,T1,Excalibur 3,2484
24-Jul-2019,22,19,4,16,8,13,T1,Excalibur 3,2483
23-Jul-2019,10,39,30,20,23,5,T1,Excalibur 3,2482
20-Jul-2019,37,6,8,11,5,12,T4,Excalibur 3,2481
19-Jul-2019,9,10,39,16,25,8,T4,Excalibur 3,2480
17-Jul-2019,19,26,4,39,3,12,T4,Excalibur 3,2479
16-Jul-2019,19,3,27,24,37,5,T4,Excalibur 3,2478
13-Jul-2019,14,10,18,16,20,9,T3,Excalibur 2,2477
12-Jul-2019,38,20,34,13,32,12,T3,Excalibur 2,2476
10-Jul-2019,12,8,16,36,6,10,T3,Excalibur 2,2475
09-Jul-2019,18,19,8,34,38,14,T3,Excalibur 2,2474
