1401;02;17;24;31;49;02;11;0;
1401;06;13;15;28;41;05;08;0;
1401;07;18;37;40;44;03;04;0;
1400;02;17;24;31;49;02;12;0;
1400;06;13;15;28;41;05;08;0;
1400;12;16;28;41;46;03;04;2.8;
1399;09;11;28;35;41;08;12;0;
1399;09;17;21;22;39;04;07;0;
1399;12;16;29;41;46;03;04;0;
1398;03;06;29;30;32;04;07;2.5;
1398;09;17;21;22;39;05;08;0;
1398;04;14;33;36;49;03;11;0;
1397;03;06;29;30;32;04;07;0;
1397;09;17;21;22;39;05;08;0;
1397;04;14;33;36;49;03;09;0;
1396;06;10;19;24;30;04;07;0;
1396;09;17;21;22;39;05;08;0;
1396;03;15;24;29;34;02;03;0;
1396;07;23;37;41;46;04;11;0;
1396;04;14;30;33;49;03;09;0;
1396;08;10;12;26;43;08;10;0;
1395;06;10;19;24;30;04;09;0;
1394;03;11;23;29;46;04;09;0;
1393;04;08;23;33;46;02;08;0;
1392;08;11;19;23;31;02;08;0
1391;01;03;08;31;50;05;08;0
1390;01;03;08;31;50;05;08;0
1389;02;08;22;24;31;05;08;0
1388;04;21;22;36;39;02;06;0
1387;04;21;22;36;39;02;06;0
1386;04;21;22;36;39;06;09;0
1386;09;11;17;31;44;02;06;0
