2825;04;05;13;22;37;07;0;
2825;01;02;11;18;29;04;0;
2825;03;07;09;23;34;14;0;
2824;04;05;13;22;37;07;0;
2824;01;02;11;18;29;04;0;
2824;03;07;09;23;34;14;0;
2823;04;05;13;22;37;07;0;
2823;01;02;11;18;29;04;0;
2823;03;07;09;23;34;14;0;
2822;04;06;09;15;22;07;0;
2822;03;05;08;18;29;04;0;
2822;07;10;20;35;37;10;5;
2821;02;03;05;13;21;07;0;
2821;07;14;19;25;27;04;0;
2821;09;16;28;29;37;10;0;
2820;05;06;08;25;31;11;3;
2820;03;10;21;26;27;04;0;
2820;07;09;16;20;37;10;0;
2819;02;03;10;21;38;11;0;
2819;09;21;25;30;37;04;0;
2819;06;13;20;28;34;10;0;
2818;02;03;10;21;38;11;0;
2818;09;21;25;30;37;04;0;
2818;13;20;28;29;34;10;0;
2817;02;03;10;21;38;11;0;
2817;09;21;25;30;37;04;0;
2817;07;20;28;29;34;10;0;
2816;02;03;10;21;38;11;0;
2816;03;10;11;21;34;04;0;
2816;05;12;13;23;32;10;0;
2815;02;03;10;21;31;11;0;
2815;03;10;11;21;34;04;0;
2815;05;12;13;23;32;10;0;
2814;03;06;08;14;25;04;0;
2814;03;10;11;21;34;14;3;
2814;05;08;19;24;32;14;10;
2813;03;07;12;18;19;04;0;
2813;02;07;08;24;36;10;0;
2813;03;07;15;20;23;14;0;
2813;03;07;12;18;19;04;0;
2813;01;10;15;21;34;10;0;
2813;03;05;11;23;33;14;0;
2812;05;07;18;19;24;13;0;
2812;02;08;20;32;33;01;0;
2812;03;10;11;21;34;02;0;
2811;03;07;12;18;19;04;0;
2811;02;07;08;24;30;10;0;
2811;03;07;15;20;23;14;0;
2810;06;07;12;18;19;04;0;
2810;02;06;08;24;30;10;0;
2810;03;07;15;20;23;14;0;
2809;11;16;19;21;39;04;0;
2809;02;06;08;24;30;10;0;
2809;03;07;15;20;23;14;0;
2808;02;03;04;11;17;08;3;
2808;03;05;10;29;30;10;0;
2808;09;15;23;26;38;14;0;
2807;02;03;04;11;17;08;0;
2807;05;10;13;29;30;10;0;
2807;09;15;23;26;38;14;0;
2806;03;08;10;20;26;05;5;
2806;01;04;07;17;21;10;0;
2806;02;22;24;35;39;14;0;
2805;08;16;21;24;30;05;0;
2805;01;04;07;17;21;10;0;
2805;02;22;24;35;39;14;0;
2804;08;16;21;24;30;05;0;
2804;01;04;07;17;21;10;0;
2804;02;09;10;29;31;14;0;
2803;08;16;21;24;30;05;0;
2803;01;04;07;17;21;10;0;
2803;02;09;10;29;31;14;0;
2802;05;08;16;21;24;05;0;
2802;01;04;07;17;21;10;0;
2802;02;09;10;29;31;14;0;
2801;12;20;23;34;37;05;0;
2801;08;14;19;29;31;10;0;
2801;02;05;06;09;30;14;0;
2800;12;20;23;34;37;05;0;
2800;08;14;18;29;31;10;0;
2800;02;05;06;09;30;14;0;
2799;02;03;10;22;34;05;0;
2799;08;14;18;20;33;10;0;
2799;02;05;06;09;30;14;0;
2798;02;05;11;13;15;05;0;
2798;06;11;13;25;34;10;0;
2798;02;05;06;09;30;14;0;
2797;06;07;12;14;31;07;0;
2797;06;11;14;16;39;01;0;
2797;02;05;11;27;31;03;0;
2797;06;14;16;22;29;05;0;
2797;02;11;12;19;23;14;0;
2797;05;09;13;27;32;03;0;
2797;01;05;07;23;27;12;0;
2797;02;09;14;19;29;10;0;
2797;02;06;07;14;39;09;0;
2797;05;13;29;31;39;04;0;
2797;02;05;11;13;15;05;0;
2797;06;07;08;17;26;10;0;
2797;02;05;06;09;30;14;0;
2796;02;05;11;13;15;14;0
2796;06;07;08;20;26;10;0
2796;06;10;17;19;29;05;0
2795;03;11;18;20;36;14;0;
2795;05;10;18;21;34;11;5
2795;01;12;14;29;33;05;0;
2794;03;10;11;20;33;05;0
2794;01;07;10;27;32;11;0
2794;05;12;18;30;36;14;0
2793;02;03;08;09;13;11;0
2793;01;07;10;20;35;05;0
2793;05;11;12;30;36;14;0
2792;02;03;08;09;13;11;0
2792;01;10;14;20;35;05;0
2792;05;11;12;30;31;14;0
2791;03;05;12;26;32;11;0
2791;04;09;12;20;31;07;3
2791;02;10;21;36;37;14;0
2790;03;05;12;26;32;11;0
2790;01;04;11;14;19;08;5
2790;03;09;10;28;32;14;0
2789;03;08;12;21;34;11;0
2789;04;07;08;10;23;08;0
2789;02;04;16;20;28;14;0
2788;02;05;16;24;32;11;0
2788;01;04;05;15;32;08;0
2787;02;05;16;24;32;11;0
2787;01;04;05;15;32;08;0
2786;02;05;16;24;32;11;0
2786;01;04;05;15;32;08;0
2785;02;09;16;26;27;11;0
2785;03;05;11;29;33;08;0
2784;02;05;11;13;33;08;0
2784;09;11;14;21;27;05;0
2784;03;05;13;14;29;04;0
2784;11;21;23;25;32;03;0
2784;02;03;13;20;30;12;0
2784;02;03;11;17;29;06;0
2784;02;09;16;26;27;11;0
2784;05;13;17;28;33;14;0
2784;02;05;13;28;32;07;0
2784;02;09;25;27;32;01;3
2784;05;09;11;20;23;13;0
2784;02;09;13;14;37;10;0
2784;02;14;16;20;22;09;0
