DrawDate   ,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Thunderball,Ball Set,Machine    ,DrawNumber
09-Mar-2018,28    ,18    ,36    ,34    ,16    ,12         ,T3      ,Excalibur 2,2196
07-Mar-2018,33    ,37    ,14    ,19    ,22    ,3          ,T6      ,Excalibur 3,2195
06-Mar-2018,23    ,12    ,28    ,25    ,8     ,7          ,T1      ,Excalibur 3,2194
03-Mar-2018,24    ,32    ,34    ,15    ,19    ,3          ,T8      ,Excalibur 2,2193
02-Mar-2018,12    ,34    ,24    ,21    ,37    ,9          ,T7      ,Excalibur 3,2192
28-Feb-2018,9     ,20    ,30    ,7     ,28    ,7          ,T5      ,Excalibur 3,2191
27-Feb-2018,4     ,34    ,15    ,19    ,6     ,9          ,T5      ,Excalibur 3,2190
24-Feb-2018,29    ,36    ,17    ,15    ,11    ,1          ,T8      ,Excalibur 2,2189
23-Feb-2018,1     ,2     ,13    ,16    ,7     ,1          ,T5      ,Excalibur 3,2188
21-Feb-2018,37    ,13    ,11    ,31    ,16    ,11         ,T7      ,Excalibur 2,2187
20-Feb-2018,22    ,26    ,3     ,5     ,2     ,3          ,T6      ,Excalibur 2,2186
17-Feb-2018,24    ,9     ,27    ,21    ,16    ,13         ,T8      ,Excalibur 5,2185
16-Feb-2018,3     ,7     ,36    ,10    ,5     ,13         ,T7      ,Excalibur 6,2184
14-Feb-2018,19    ,11    ,7     ,27    ,15    ,13         ,T6      ,Excalibur 6,2183
13-Feb-2018,4     ,27    ,29    ,28    ,30    ,12         ,T8      ,Excalibur 6,2182
10-Feb-2018,9     ,38    ,20    ,18    ,5     ,14         ,T5      ,Excalibur 5,2181
09-Feb-2018,30    ,37    ,36    ,26    ,33    ,13         ,T6      ,Excalibur 6,2180
07-Feb-2018,20    ,1     ,26    ,29    ,30    ,3          ,T7      ,Excalibur 6,2179
06-Feb-2018,15    ,6     ,22    ,30    ,21    ,2          ,T8      ,Excalibur 6,2178
03-Feb-2018,15    ,26    ,3     ,13    ,17    ,2          ,T6      ,Excalibur 5,2177
02-Feb-2018,24    ,32    ,25    ,11    ,20    ,5          ,T7      ,Excalibur 6,2176
31-Jan-2018,37    ,18    ,13    ,23    ,38    ,4          ,T6      ,Excalibur 5,2175
30-Jan-2018,26    ,29    ,18    ,21    ,1     ,14         ,T5      ,Excalibur 6,2174
27-Jan-2018,39    ,10    ,32    ,35    ,21    ,13         ,T6      ,Excalibur 6,2173
26-Jan-2018,34    ,15    ,18    ,6     ,19    ,12         ,T8      ,Excalibur 5,2172
24-Jan-2018,25    ,1     ,16    ,11    ,37    ,7          ,T7      ,Excalibur 5,2171
20-Jan-2018,15    ,34    ,16    ,35    ,5     ,3          ,T5      ,Excalibur 5,2170
19-Jan-2018,25    ,36    ,1     ,3     ,28    ,11         ,T8      ,Excalibur 5,2169
17-Jan-2018,29    ,21    ,37    ,22    ,7     ,7          ,T8      ,Excalibur 5,2168
13-Jan-2018,19    ,17    ,2     ,35    ,9     ,14         ,T7      ,Excalibur 6,2167
12-Jan-2018,27    ,23    ,25    ,14    ,28    ,4          ,T5      ,Excalibur 5,2166
10-Jan-2018,13    ,29    ,28    ,1     ,27    ,12         ,T6      ,Excalibur 5,2165
06-Jan-2018,16    ,34    ,4     ,6     ,24    ,2          ,T5      ,Excalibur 6,2164
05-Jan-2018,8     ,3     ,22    ,17    ,23    ,10         ,T6      ,Excalibur 5,2163
03-Jan-2018,1     ,18    ,28    ,37    ,23    ,13         ,T7      ,Excalibur 6,2162

18-Nov-2017,22    ,18    ,31    ,27    ,17    ,2          ,T1      ,Excalibur 6,2143
17-Nov-2017,30    ,27    ,29    ,33    ,26    ,2          ,T4      ,Excalibur 6,2142
15-Nov-2017,30    ,32    ,37    ,20    ,2     ,3          ,T4      ,Excalibur 5,2141
11-Nov-2017,37    ,10    ,18    ,12    ,35    ,1          ,T3      ,Excalibur 6,2140
10-Nov-2017,5     ,3     ,36    ,17    ,21    ,6          ,T2      ,Excalibur 6,2139
08-Nov-2017,22    ,38    ,15    ,27    ,10    ,9          ,T1      ,Excalibur 5,2138
04-Nov-2017,10    ,27    ,33    ,4     ,1     ,10         ,T1      ,Excalibur 6,2137
03-Nov-2017,16    ,32    ,25    ,26    ,23    ,14         ,T1      ,Excalibur 6,2136
01-Nov-2017,4     ,2     ,22    ,17    ,25    ,4          ,T3      ,Excalibur 5,2135
28-Oct-2017,27    ,19    ,21    ,35    ,24    ,5          ,T2      ,Excalibur 5,2134
27-Oct-2017,15    ,20    ,12    ,38    ,26    ,9          ,T4      ,Excalibur 5,2133
25-Oct-2017,2     ,31    ,6     ,34    ,1     ,2          ,T3      ,Excalibur 5,2132
21-Oct-2017,3     ,7     ,28    ,1     ,38    ,7          ,T2      ,Excalibur 6,2131
20-Oct-2017,19    ,37    ,12    ,24    ,7     ,14         ,T4      ,Excalibur 5,2130
18-Oct-2017,29    ,10    ,36    ,34    ,25    ,11         ,T2      ,Excalibur 5,2129
14-Oct-2017,4     ,35    ,30    ,9     ,15    ,5          ,T3      ,Excalibur 6,2128
13-Oct-2017,36    ,13    ,10    ,16    ,17    ,5          ,T1      ,Excalibur 5,2127
11-Oct-2017,29    ,20    ,39    ,16    ,4     ,14         ,T4      ,Excalibur 6,2126
07-Oct-2017,26    ,28    ,30    ,15    ,8     ,7          ,T2      ,Excalibur 6,2125
06-Oct-2017,20    ,39    ,7     ,24    ,6     ,5          ,T3      ,Excalibur 6,2124
04-Oct-2017,8     ,21    ,1     ,34    ,27    ,12         ,T3      ,Excalibur 6,2123
30-Sep-2017,39    ,14    ,24    ,6     ,38    ,4          ,T1      ,Excalibur 6,2122
29-Sep-2017,4     ,33    ,37    ,31    ,30    ,6          ,T2      ,Excalibur 6,2121
27-Sep-2017,3     ,18    ,19    ,4     ,6     ,7          ,T4      ,Excalibur 6,2120
23-Sep-2017,13    ,37    ,10    ,2     ,25    ,6          ,T4      ,Excalibur 6,2119
22-Sep-2017,24    ,38    ,30    ,34    ,17    ,7          ,T1      ,Excalibur 5,2118
20-Sep-2017,12    ,4     ,33    ,11    ,15    ,14         ,T3      ,Excalibur 6,2117
16-Sep-2017,5     ,13    ,35    ,26    ,33    ,5          ,T2      ,Excalibur 5,2116
15-Sep-2017,7     ,28    ,36    ,27    ,31    ,6          ,T7      ,Excalibur 6,2115
13-Sep-2017,26    ,25    ,11    ,29    ,19    ,4          ,T1      ,Excalibur 5,2114
09-Sep-2017,15    ,5     ,30    ,17    ,23    ,8          ,T5      ,Excalibur 5,2113
08-Sep-2017,36    ,9     ,1     ,8     ,17    ,14         ,T5      ,Excalibur 6,2112
06-Sep-2017,15    ,20    ,32    ,31    ,9     ,11         ,T6      ,Excalibur 5,2111
02-Sep-2017,28    ,38    ,2     ,11    ,18    ,5          ,T8      ,Excalibur 5,2110
01-Sep-2017,9     ,17    ,23    ,31    ,37    ,9          ,T5      ,Excalibur 5,2109
30-Aug-2017,21    ,9     ,7     ,33    ,25    ,8          ,T7      ,Excalibur 6,2108
26-Aug-2017,16    ,9     ,20    ,31    ,22    ,8          ,T6      ,Excalibur 6,2107
25-Aug-2017,30    ,22    ,26    ,8     ,10    ,3          ,T8      ,Excalibur 6,2106
23-Aug-2017,17    ,1     ,26    ,30    ,31    ,1          ,T7      ,Excalibur 6,2105
19-Aug-2017,28    ,4     ,16    ,18    ,35    ,2          ,T6      ,Excalibur 3,2104
18-Aug-2017,4     ,26    ,28    ,23    ,12    ,4          ,T5      ,Excalibur 2,2103
16-Aug-2017,7     ,10    ,29    ,20    ,38    ,13         ,T8      ,Excalibur 2,2102
12-Aug-2017,7     ,4     ,16    ,5     ,31    ,13         ,T7      ,Excalibur 3,2101
11-Aug-2017,23    ,5     ,33    ,17    ,15    ,11         ,T6      ,Excalibur 2,2100
09-Aug-2017,28    ,39    ,34    ,12    ,19    ,4          ,T6      ,Excalibur 2,2099
05-Aug-2017,14    ,16    ,9     ,35    ,1     ,8          ,T8      ,Excalibur 3,2098
04-Aug-2017,16    ,28    ,37    ,27    ,2     ,9          ,T5      ,Excalibur 3,2097
02-Aug-2017,15    ,19    ,7     ,24    ,10    ,13         ,T7      ,Excalibur 3,2096
29-Jul-2017,22    ,14    ,34    ,33    ,10    ,7          ,T8      ,Excalibur 2,2095
28-Jul-2017,12    ,4     ,37    ,6     ,25    ,7          ,T5      ,Excalibur 3,2094
26-Jul-2017,7     ,34    ,19    ,6     ,12    ,5          ,T6      ,Excalibur 2,2093
22-Jul-2017,35    ,30    ,21    ,28    ,11    ,10         ,T6      ,Excalibur 3,2092
21-Jul-2017,7     ,6     ,14    ,5     ,35    ,10         ,T8      ,Excalibur 2,2091
19-Jul-2017,17    ,15    ,3     ,28    ,35    ,6          ,T7      ,Excalibur 2,2090
15-Jul-2017,7     ,34    ,9     ,30    ,14    ,4          ,T5      ,Excalibur 2,2089
