26-Apr-2017,47,43,15,12,59,30,4,Merlin   ,2227
22-Apr-2017,52,37,42,6 ,4 ,34,3,Merlin   ,2226
19-Apr-2017,4 ,47,27,54,55,59,2,Merlin   ,2225
15-Apr-2017,31,19,8 ,16,10,23,1,Arthur   ,2224
12-Apr-2017,34,52,42,3 ,16,49,4,Arthur   ,2223
08-Apr-2017,50,36,47,23,14,45,3,Arthur   ,2222
05-Apr-2017,10,18,16,32,45,42,1,Merlin   ,2221
01-Apr-2017,54,11,1 ,23,2 ,25,4,Arthur   ,2220
29-Mar-2017,32,16,5 ,51,42,6 ,2,Merlin   ,2219
25-Mar-2017,54,53,58,48,39,52,3,Arthur   ,2218
22-Mar-2017,12,6 ,11,31,27,19,1,Merlin   ,2217
18-Mar-2017,26,37,8 ,3 ,19,41,3,Merlin   ,2216
15-Mar-2017,27,58,6 ,39,24,38,3,Merlin   ,2215
11-Mar-2017,55,15,57,23,6 ,29,2,Arthur   ,2214
08-Mar-2017,43,42,19,22,11,49,4,Arthur   ,2213
04-Mar-2017,56,39,49,38,24,40,1,Merlin   ,2212
01-Mar-2017,47,2 ,53,21,7 ,22,2,Arthur   ,2211
25-Feb-2017,34,41,38,24,18,49,4,Merlin   ,2210
22-Feb-2017,1 ,38,54,31,28,16,1,Arthur   ,2209
18-Feb-2017,59,11,21,49,13,37,3,Merlin   ,2208
15-Feb-2017,47,23,56,38,28,17,4,Arthur   ,2207
11-Feb-2017,15,18,52,42,43,23,2,Arthur   ,2206
08-Feb-2017,44,41,49,54,23,7 ,6,Arthur   ,2205
04-Feb-2017,6 ,30,27,50,9 ,40,5,Merlin   ,2204
01-Feb-2017,15,6 ,45,8 ,58,31,7,Merlin   ,2203
28-Jan-2017,34,23,43,45,21,5 ,6,Lancelot ,2202
25-Jan-2017,53,4 ,23,9 ,37,20,8,Lancelot ,2201
21-Jan-2017,52,37,58,4 ,40,13,5,Merlin   ,2200
18-Jan-2017,28,20,27,53,14,8 ,7,Merlin   ,2199
14-Jan-2017,21,54,36,53,14,19,8,Merlin   ,2198
11-Jan-2017,29,35,26,46,21,59,6,Merlin   ,2197
07-Jan-2017,8 ,33,45,16,51,36,8,Lancelot ,2196
04-Jan-2017,49,42,10,48,37,29,5,Merlin   ,2195
31-Dec-2016,54,41,17,51,10,35,7,Merlin   ,2194
28-Dec-2016,52,5 ,47,48,54,40,5,Merlin   ,2193
24-Dec-2016,58,16,19,29,54,46,8,Merlin   ,2192
21-Dec-2016,22,52,13,35,10,42,6,Lancelot ,2191
17-Dec-2016,11,32,2 ,54,18,40,7,Merlin   ,2190
14-Dec-2016,40,58,7 ,8 ,3 ,9 ,8,Merlin   ,2189
10-Dec-2016,11,26,32,33,31,46,5,Lancelot ,2188
07-Dec-2016,27,44,58,31,16,32,6,Lancelot ,2187
03-Dec-2016,3 ,21,9 ,8 ,54,19,6,Merlin   ,2186
30-Nov-2016,55,25,39,45,20,10,7,Lancelot ,2185
26-Nov-2016,2 ,49,40,28,1 ,48,5,Merlin   ,2184
23-Nov-2016,25,4 ,38,39,2 ,8 ,8,Merlin   ,2183
