23-Jan-18,5 ,8 ,9 ,23,24,7 ,8 ,"TZPM83516,ZZPN71238"                                                                                                              ,1079
19-Jan-18,3 ,8 ,17,44,50,2 ,7 ,"VXPF51556,XXNX90620"                                                                                                              ,1078
16-Jan-18,20,23,31,34,46,3 ,12,"MWNM60231,VVNC39933"                                                                                                              ,1077
12-Jan-18,13,21,23,30,45,4 ,6 ,"JTMT96796,VVNH64227"                                                                                                              ,1076
09-Jan-18,6 ,12,15,38,49,2 ,9 ,"TTMZ49073,XTNB55606"                                                                                                              ,1075
05-Jan-18,2 ,5 ,20,38,41,4 ,8 ,"XRMF87622,XSMM33127"                                                                                                              ,1074
02-Jan-18,10,20,21,28,48,1 ,8 ,"MNLJ97512,ZMKM24587"                                                                                                              ,1073
29-Dec-17,4 ,8 ,22,23,48,1 ,12,"HQLS15049,HQLV41124,JQLT18628,JQLZ90793,JQMC68409,MMKP35545,MNLB10401,VPLL60998,VQLT87671,XPLM29525"                              ,1072
26-Dec-17,4 ,17,30,43,44,2 ,10,"JKJN29125,TGHM18086"                                                                                                              ,1071
22-Dec-17,5 ,24,30,31,43,3 ,6 ,"HNLD60532,XNLG75734"                                                                                                              ,1070
19-Dec-17,8 ,15,30,38,46,4 ,7 ,"TMKS66915,XMKV63264"                                                                                                              ,1069
15-Dec-17,25,30,31,42,50,2 ,11,"HLKH65365,TLKJ11596"                                                                                                              ,1068
12-Dec-17,20,37,39,44,50,4 ,8 ,"JKJP88215,TKJS93359"                                                                                                              ,1067
08-Dec-17,4 ,22,30,32,34,3 ,4 ,"MJJF88649,TJJK43370"                                                                                                              ,1066
05-Dec-17,11,36,43,44,48,2 ,7 ,"XHHV05371,ZHHP74881"                                                                                                              ,1065
01-Dec-17,5 ,24,29,35,46,11,12,"VGHC31876,ZGHH49649"                                                                                                              ,1064
28-Nov-17,1 ,6 ,12,18,42,2 ,7 ,"JFGZ59473,VFGQ80020"                                                                                                              ,1063
24-Nov-17,19,24,28,30,50,3 ,10,"TCGD18328,VDGN62853"                                                                                                              ,1062
21-Nov-17,2 ,10,14,28,31,5 ,7 ,"JCGF78484,TCGF32633"                                                                                                              ,1061
17-Nov-17,20,26,35,36,42,5 ,12,"JZFL48337,VBFS21652"                                                                                                              ,1060
14-Nov-17,14,16,39,40,41,8 ,10,"TZFN99040,XZFK09195"                                                                                                              ,1059
10-Nov-17,13,22,29,36,37,1 ,9 ,"JXFD48066,ZXFC97181"                                                                                                              ,1058
07-Nov-17,7 ,19,20,37,41,2 ,12,"JWDT59821,JWDT84132"                                                                                                              ,1057
03-Nov-17,5 ,12,17,33,41,4 ,9 ,"JTDG96679,XVDR88328"                                                                                                              ,1056
31-Oct-17,1 ,12,36,43,46,3 ,5 ,"HTDH12804,HTDJ58091"                                                                                                              ,1055
27-Oct-17,3 ,16,23,32,39,1 ,4 ,"HRCN28943,TSCZ36565"                                                                                                              ,1054
24-Oct-17,9 ,11,13,27,33,7 ,10,"JRCP43323,MRCM21187"                                                                                                              ,1053
20-Oct-17,4 ,17,23,27,30,3 ,8 ,"JPBV99811,TQCJ24824"                                                                                                              ,1052
17-Oct-17,13,17,19,26,36,2 ,3 ,"HPBZ34077,ZNBG97918"                                                                                                              ,1051
13-Oct-17,23,29,37,45,50,5 ,11,"HNBJ38847,HNBK33581,MNBM68831,TNBK94211,VNBL42137,VNBR72191,XNBH69511,XNBK26651,XNBQ80626,XNBS05984,ZMZZ63480,ZNBJ56702,ZNBM34204",1050
10-Oct-17,4 ,21,34,36,37,3 ,6 ,"HMBG01161,TMBG01744"                                                                                                              ,1049
06-Oct-17,1 ,9 ,15,19,25,1 ,7 ,"THVG82566,TLZM98884"                                                                                                              ,1048
03-Oct-17,6 ,24,32,48,50,1 ,5 ,"HKWV23693,HKXK00811"                                                                                                              ,1047
29-Sep-17,7 ,18,19,32,48,3 ,7 ,"MJWJ77690,XHVJ06918"                                                                                                              ,1046
26-Sep-17,1 ,29,40,41,48,6 ,12,"THVJ92749,ZHVR72885"                                                                                                              ,1045
22-Sep-17,6 ,11,31,39,42,1 ,3 ,"JGTP45215,JGTQ09773"                                                                                                              ,1044
19-Sep-17,1 ,8 ,21,30,45,2 ,3 ,"HDSQ06930,JFTK18065"                                                                                                              ,1043
15-Sep-17,13,18,37,44,49,9 ,12,"XDSQ75959,ZDSH70896"                                                                                                              ,1042
12-Sep-17,10,17,27,29,35,4 ,11,"MCSB30158,VVQN56819"                                                                                                              ,1041
08-Sep-17,9 ,24,42,47,49,1 ,5 ,"JZRK85978,ZZRM99959"                                                                                                              ,1040
